Year,CO2-BAU,CH4-BAU,N2O-BAU,HFC-BAU,PFC-BAU,SF6-BAU,CO2B-BAU,CH4B-BAU,CO2-S1,CH4-S1,N2O-S1,HFC-S1,PFC-S1,SF6-S1,CO2B-S1,CH4B-S1,CO2-S2,CH4-S2,N2O-S2,HFC-S2,PFC-S2,SF6-S2,CO2B-S2,CH4B-S2,CO2-S3,CH4-S3,N2O-S3,HFC-S3,PFC-S3,SF6-S3,CO2B-S3,CH4B-S3
1872,866.31,5263.93,1197.41,0,0,0,2200.34,5263.93,866.31,5263.93,1197.41,0,0,0,2200.34,5263.93,866.31,5263.93,1197.41,0,0,0,2200.34,5263.93,866.31,5263.93,1197.41,0,0,0,2200.34,5263.93
1873,921.42,5523.55,1250.62,0,0,0,2238.91,5523.55,921.42,5523.55,1250.62,0,0,0,2238.91,5523.55,921.42,5523.55,1250.62,0,0,0,2238.91,5523.55,921.42,5523.55,1250.62,0,0,0,2238.91,5523.55
1874,871.6,5487.26,1272.85,0,0,0,2263.68,5487.26,871.6,5487.26,1272.85,0,0,0,2263.68,5487.26,871.6,5487.26,1272.85,0,0,0,2263.68,5487.26,871.6,5487.26,1272.85,0,0,0,2263.68,5487.26
1875,941.7,5481.68,1293.67,0,0,0,2289.62,5481.68,941.7,5481.68,1293.67,0,0,0,2289.62,5481.68,941.7,5481.68,1293.67,0,0,0,2289.62,5481.68,941.7,5481.68,1293.67,0,0,0,2289.62,5481.68
1876,956.83,5470.51,1338.39,0,0,0,2314.55,5470.51,956.83,5470.51,1338.39,0,0,0,2314.55,5470.51,956.83,5470.51,1338.39,0,0,0,2314.55,5470.51,956.83,5470.51,1338.39,0,0,0,2314.55,5470.51
1877,971.97,5180.19,1358.31,0,0,0,2338.73,5180.19,971.97,5180.19,1358.31,0,0,0,2338.73,5180.19,971.97,5180.19,1358.31,0,0,0,2338.73,5180.19,971.97,5180.19,1358.31,0,0,0,2338.73,5180.19
1878,979.39,5272.31,1375.75,0,0,0,2363.67,5272.31,979.39,5272.31,1375.75,0,0,0,2363.67,5272.31,979.39,5272.31,1375.75,0,0,0,2363.67,5272.31,979.39,5272.31,1375.75,0,0,0,2363.67,5272.31
1879,1049.35,5459.35,1391.67,0,0,0,2388.11,5459.35,1049.35,5459.35,1391.67,0,0,0,2388.11,5459.35,1049.35,5459.35,1391.67,0,0,0,2388.11,5459.35,1049.35,5459.35,1391.67,0,0,0,2388.11,5459.35
1880,1179.27,5107.6,1408.21,0,0,0,2410.99,5107.6,1179.27,5107.6,1408.21,0,0,0,2410.99,5107.6,1179.27,5107.6,1408.21,0,0,0,2410.99,5107.6,1179.27,5107.6,1408.21,0,0,0,2410.99,5107.6
1881,1214.24,5263.93,1457.52,0,0,0,2518.22,5263.93,1214.24,5263.93,1457.52,0,0,0,2518.22,5263.93,1214.24,5263.93,1457.52,0,0,0,2518.22,5263.93,1214.24,5263.93,1457.52,0,0,0,2518.22,5263.93
1882,1279.2,5305.81,1410.26,0,0,0,2346.65,5305.81,1279.2,5305.81,1410.26,0,0,0,2346.65,5305.81,1279.2,5305.81,1410.26,0,0,0,2346.65,5305.81,1279.2,5305.81,1410.26,0,0,0,2346.65,5305.81
1883,1359.15,5540.3,1423.36,0,0,0,2361.61,5540.3,1359.15,5540.3,1423.36,0,0,0,2361.61,5540.3,1359.15,5540.3,1423.36,0,0,0,2361.61,5540.3,1359.15,5540.3,1423.36,0,0,0,2361.61,5540.3
